scenario,method,snr_db,omega_rad_per_frame,median_abs_error_rad,rmse_rad,p90_abs_error_rad,sign_error_rate,quality_mean,quality_median
decorrelation,huber_wls,-12.0,1.35,0.8861103057861328,1.2798936367034912,2.149961471557617,0.333984375,0.4359440207481384,0.4032856822013855
decorrelation,leave_one_out,-12.0,1.35,0.8838399052619934,1.2801377773284912,2.1501708030700684,0.333984375,0.4359440207481384,0.4032856822013855
decorrelation,circular_grid,-12.0,1.35,0.5759586095809937,1.3994414806365967,2.5928659439086914,0.296875,0.4359440207481384,0.4032856822013855
decorrelation,circular_refined,-12.0,1.35,0.5796693563461304,1.3997503519058228,2.6009089946746826,0.296875,0.4359440207481384,0.4032856822013855
decorrelation,circular_sign_wls,-12.0,1.35,0.8792212605476379,1.2801002264022827,2.2278382778167725,0.296875,0.4359440207481384,0.4032856822013855
decorrelation,kasai,-6.0,0.35,0.23907819390296936,0.5572221279144287,0.7830509543418884,0.16796875,0.6230528950691223,0.7220159769058228
decorrelation,wls_origin,-6.0,0.35,0.04173138737678528,0.20988790690898895,0.133391872048378,0.0205078125,0.6230528950691223,0.7220159769058228
decorrelation,wls_free,-6.0,0.35,0.09235619008541107,0.27406999468803406,0.27139443159103394,0.0361328125,0.6230528950691223,0.7220159769058228
decorrelation,huber_wls,-6.0,0.35,0.04194726049900055,0.20178362727165222,0.13377045094966888,0.0185546875,0.6230528950691223,0.7220159769058228
decorrelation,leave_one_out,-6.0,0.35,0.04617558419704437,0.20569154620170593,0.15210160613059998,0.0185546875,0.6230528950691223,0.7220159769058228
decorrelation,circular_grid,-6.0,0.35,0.04269909858703613,0.37375423312187195,0.1386922150850296,0.0185546875,0.6230528950691223,0.7220159769058228
decorrelation,circular_refined,-6.0,0.35,0.04173135757446289,0.3733699321746826,0.13482388854026794,0.01953125,0.6230528950691223,0.7220159769058228
decorrelation,circular_sign_wls,-6.0,0.35,0.04234987497329712,0.1870444416999817,0.13739842176437378,0.0185546875,0.6230528950691223,0.7220159769058228
decorrelation,kasai,-6.0,0.8,0.25136086344718933,0.5766797661781311,0.8270877599716187,0.0556640625,0.8442549109458923,0.9258817434310913
decorrelation,wls_origin,-6.0,0.8,0.047034621238708496,0.30064257979393005,0.13523608446121216,0.0283203125,0.8442549109458923,0.9258817434310913
decorrelation,wls_free,-6.0,0.8,0.08673593401908875,0.31129756569862366,0.2923218309879303,0.02734375,0.8442549109458923,0.9258817434310913
decorrelation,huber_wls,-6.0,0.8,0.04627460241317749,0.299678772687912,0.1357211172580719,0.0302734375,0.8442549109458923,0.9258817434310913
decorrelation,leave_one_out,-6.0,0.8,0.050410568714141846,0.30374613404273987,0.1489873230457306,0.0302734375,0.8442549109458923,0.9258817434310913
decorrelation,circular_grid,-6.0,0.8,0.04648464918136597,0.3890804052352905,0.13204027712345123,0.0205078125,0.8442549109458923,0.9258817434310913
decorrelation,circular_refined,-6.0,0.8,0.047201454639434814,0.3896797299385071,0.1333589404821396,0.0205078125,0.8442549109458923,0.9258817434310913
decorrelation,circular_sign_wls,-6.0,0.8,0.04769781231880188,0.25587600469589233,0.133358895778656,0.0205078125,0.8442549109458923,0.9258817434310913
decorrelation,kasai,-6.0,1.35,0.24505943059921265,0.5197100639343262,0.7472039461135864,0.0166015625,0.9039101600646973,0.9736617803573608
decorrelation,wls_origin,-6.0,1.35,0.045036137104034424,0.3699575364589691,0.16476471722126007,0.0302734375,0.9039101600646973,0.9736617803573608
decorrelation,wls_free,-6.0,1.35,0.09394210577011108,0.4295625686645508,0.3045610189437866,0.0380859375,0.9039101600646973,0.9736617803573608
decorrelation,huber_wls,-6.0,1.35,0.04577302932739258,0.36587420105934143,0.15674346685409546,0.03125,0.9039101600646973,0.9736617803573608
decorrelation,leave_one_out,-6.0,1.35,0.05375337600708008,0.36738091707229614,0.16384479403495789,0.0283203125,0.9039101600646973,0.9736617803573608
decorrelation,circular_grid,-6.0,1.35,0.04626334086060524,0.2952062487602234,0.1319517195224762,0.0126953125,0.9039101600646973,0.9736617803573608
decorrelation,circular_refined,-6.0,1.35,0.04369443655014038,0.29497230052948,0.13189996778964996,0.0126953125,0.9039101600646973,0.9736617803573608
decorrelation,circular_sign_wls,-6.0,1.35,0.045036137104034424,0.3484131395816803,0.1655508130788803,0.0126953125,0.9039101600646973,0.9736617803573608
decorrelation,kasai,0.0,0.35,0.06370115280151367,0.10272804647684097,0.16808882355690002,0.0009765625,0.9648992419242859,0.976203441619873
decorrelation,wls_origin,0.0,0.35,0.02040703594684601,0.030101731419563293,0.04941076785326004,0.0,0.9648992419242859,0.976203441619873
decorrelation,wls_free,0.0,0.35,0.027486205101013184,0.041503336280584335,0.06829268485307693,0.0,0.9648992419242859,0.976203441619873
decorrelation,huber_wls,0.0,0.35,0.02040703594684601,0.030101731419563293,0.04941076785326004,0.0,0.9648992419242859,0.976203441619873
decorrelation,leave_one_out,0.0,0.35,0.022072091698646545,0.03108852542936802,0.05015914887189865,0.0,0.9648992419242859,0.976203441619873
decorrelation,circular_grid,0.0,0.35,0.018387436866760254,0.030234556645154953,0.05142572522163391,0.0,0.9648992419242859,0.976203441619873
decorrelation,circular_refined,0.0,0.35,0.02040703594684601,0.030101733282208443,0.04941076785326004,0.0,0.9648992419242859,0.976203441619873
decorrelation,circular_sign_wls,0.0,0.35,0.02040703594684601,0.030101731419563293,0.04941076785326004,0.0,0.9648992419242859,0.976203441619873
decorrelation,kasai,0.0,0.8,0.06799101829528809,0.10094568878412247,0.16478310525417328,0.0,0.9931792616844177,0.995161235332489
decorrelation,wls_origin,0.0,0.8,0.019667714834213257,0.029238522052764893,0.048958223313093185,0.0,0.9931792616844177,0.995161235332489
decorrelation,wls_free,0.0,0.8,0.02736639976501465,0.04179884120821953,0.06780850142240524,0.0,0.9931792616844177,0.995161235332489
decorrelation,huber_wls,0.0,0.8,0.019667714834213257,0.029238522052764893,0.048958223313093185,0.0,0.9931792616844177,0.995161235332489
decorrelation,leave_one_out,0.0,0.8,0.02114015817642212,0.030363041907548904,0.049715496599674225,0.0,0.9931792616844177,0.995161235332489
decorrelation,circular_grid,0.0,0.8,0.020304739475250244,0.029211606830358505,0.04950845241546631,0.0,0.9931792616844177,0.995161235332489
decorrelation,circular_refined,0.0,0.8,0.01966765522956848,0.029238535091280937,0.0489581897854805,0.0,0.9931792616844177,0.995161235332489
decorrelation,circular_sign_wls,0.0,0.8,0.019667714834213257,0.029238522052764893,0.048958223313093185,0.0,0.9931792616844177,0.995161235332489
decorrelation,kasai,0.0,1.35,0.06406360864639282,0.10551802814006805,0.17248472571372986,0.0,0.9975225925445557,0.9981759190559387
decorrelation,wls_origin,0.0,1.35,0.019050657749176025,0.029062727466225624,0.04874296113848686,0.0,0.9975225925445557,0.9981759190559387
decorrelation,wls_free,0.0,1.35,0.0271187424659729,0.042126454412937164,0.07028625905513763,0.0,0.9975225925445557,0.9981759190559387
